file,line,seconds,kwargs,context
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,216,0.408080,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,131,0.526729,,"tplay_csv(self, *[*ptr.move_under_animations(target, label), ptr.pulse()])"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,220,0.449757,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.313453,{'run_time': 0.8},"tplay_csv(self, GrowFromCenter(brace), FadeIn(final_text, shift=UP * 0.2), run_time=0.8)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,238,0.197621,{'run_time': 0.2},"tplay_csv(self, caption.animate.set_opacity(0), run_time=0.2)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,239,0.215170,,"tplay_csv(self, FadeOut(caption, run_time=0.2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,245,1.364106,{'run_time': 0.35},"tplay_csv(self, FadeOut(code), FadeOut(bg), FadeIn(payoff, shift=UP), run_time=0.35)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.270897,{'run_time': 0.25},"tplay_csv(self, FadeIn(complexity, shift=UP * 0.2), run_time=0.25)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,94,0.172768,{'run_time': 1.0},"tplay_csv(self, *[FadeIn(n, shift=DOWN, lag_ratio=0.05) for n in nodes], run_time=1.0)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,148,0.156851,{'run_time': 1.0},"tplay_csv(self, *[Create(a) for a in next_arrows], run_time=1.0)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,159,0.533664,{'run_time': 0.6},"tplay_csv(self, FadeIn(prev_ptr), FadeIn(curr_ptr), FadeIn(next_ptr), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,200,0.127100,"{'run_time': 0.6, 'rate_func': <function there_and_back at 0x0000029EB4D788B0>}",tplay_csv(
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,131,0.299550,,"tplay_csv(self, *[*ptr.move_under_animations(target, label), ptr.pulse()])"
